0l0l1||0l0l6||0l0l0||Non||Non||Non||Non||['Robert Barbereau']||[]||Créée en 1951 par Monsieur Robert Barbereau, cette scierie a longtemps été la principale entreprise de Soullans.

1l0l0||1l0l1||1l0l3||Non||Non||1l0l2||Non||[]||[]||En juin 1988, Monsieur Barbereau vend le fonds de commerce à M.

3l0l0||3l0l1||3l0l2||Non||Non||Non||Non||[]||[]||En janvier 1989, l'entreprise dépose son bilan, seize personnes sont licenciées et les installations laissées à l'abandon.

4l0l0||4l0l1||4l0l2||4l0l3||Non||Non||Non||['Jean-Pascal Pelloquin']||[]||En décembre 1989, Jean-Pascal Pelloquin  a créé une Société à Responsabilité Limitée pour exploiter à son tour la scierie.

4l0l0||4l1l0||4l0l2||4l0l3||Non||Non||Non||['Jean-Pascal Pelloquin']||[]||En décembre 1989, Jean-Pascal Pelloquin  a créé une Société à Responsabilité Limitée pour exploiter à son tour la scierie.

5l0l0||5l0l1||5l0l2||Non||Non||Non||Non||[]||[]||En avril 1990, la scierie a pu redémarrer sa production.

7l0l2||Non||7l0l1||7l0l0||Non||Non||Non||['La SARL Exploitation Forestière']||[]||La SARL Exploitation Forestière a été placée en liquidation judiciaire depuis le 8 août 2007.

7l0l2||Non||7l0l1||7l1l0||Non||Non||Non||['La SARL Exploitation Forestière']||[]||La SARL Exploitation Forestière a été placée en liquidation judiciaire depuis le 8 août 2007.

8l0l1||Non||8l0l0||Non||Non||Non||Non||[]||[]||Cette liquidation a été clôturée le 1er juin 2016 pour insuffisance d'actifs.

16l0l2||Non||16l0l1||16l0l0||Non||Non||Non||[]||[]||Un suivi de la qualité des eaux a alors été effectué en 2003, 2004, 2005 et 2006 ainsi que des analyses dans le bassin d'eau pluviale en aval de la scierie.

23l0l3||Non||23l0l0||Non||Non||23l0l2||23l0l1||[]||[]||Une visite de l'inspection des installations classées, réalisée le 15 février 2008, a permis de constater la présence de  résidus de l'exploitation de la scierie et de produits susceptibles de générer une pollution des eaux ou du sol :

32l0l4||Non||32l0l3||32l0l0||Non||Non||Non||[]||[]||Par ailleurs, cette visite a permis de constater que les analyses sur la qualité des eaux souterraines en aval du site ne sont plus réalisées depuis septembre 2006 malgré le stockage de produits de traitement du bois restant sur site.

34l0l2||Non||34l0l3||Non||Non||Non||Non||[]||['PCB']||Par ailleurs, le local contenant le transformateur électrique étant fermé, il n'a pas été possible de vérifier si le transformateur (équipement susceptible de contenir des PCB) était encore en place pendant cette visite.

35l0l0||Non||35l0l1||Non||Non||Non||Non||[]||[]||Lors de la visite du 29 octobre 2008, l'inspection des installations classées a remarqué que le site est clôturé mais que l'accès au site reste possible (par dessus le grillage) et qu'aucun travaux de remise en état n'a été engagé.

35l0l2||Non||35l0l1||Non||Non||Non||Non||[]||[]||Lors de la visite du 29 octobre 2008, l'inspection des installations classées a remarqué que le site est clôturé mais que l'accès au site reste possible (par dessus le grillage) et qu'aucun travaux de remise en état n'a été engagé.

36l0l2||Non||36l0l1||Non||Non||Non||Non||[]||['produits polluants']||De plus, cette visite a permis de constater que des reliquats de l'ancienne scierie et produits polluants, présents lors de la visite du 15 février 2008, sont toujours sur site :

