3l0l4||Non||3l0l5||3l0l6||Non||Non||Non||['Le 22 septembre 2014']||[]||Le 22 septembre 2014 a été menée une visite d’inspection du site POPIHN, suite à un courrier de la mairie de Clamart indiquant que les activités avaient cessé.

4l0l0||Non||4l0l1||Non||Non||Non||Non||['site avait']||[]||Lors de la visite, l'exploitant a confirmé que l'activité du site avait bien cessé et a indiqué qu’il avait des projets de construction immobilière à usage d'habitation d'environ 50 à 60 logements.

4l0l0||Non||4l0l1||4l0l3||Non||4l0l2||Non||['site avait']||[]||Lors de la visite, l'exploitant a confirmé que l'activité du site avait bien cessé et a indiqué qu’il avait des projets de construction immobilière à usage d'habitation d'environ 50 à 60 logements.

6l0l2||Non||6l0l1||Non||Non||Non||Non||['les exigences lors']||[]||Il a alors été rappelé à l'exploitant les exigences lors de la mise à l'arrêt définitive d'une installation classée soumise à déclaration, telle que définie à l'article R.512-66-1 du code de l'environnement.

8l0l1||Non||8l0l2||Non||Non||Non||Non||[]||[]||Un courrier de relance a été envoyé à l’exploitant le 02/02/2015.

11l0l3||Non||11l0l2||Non||Non||Non||Non||[]||[]||Néanmoins, aucun plan de gestion n'avait été soumis au préalable à l'inspection, et il a été estimé que les éléments de diagnostics n'étaient pas suffisants.

11l0l3||Non||11l0l4||Non||Non||Non||Non||[]||[]||Néanmoins, aucun plan de gestion n'avait été soumis au préalable à l'inspection, et il a été estimé que les éléments de diagnostics n'étaient pas suffisants.

15l0l1||Non||15l0l0||Non||Non||Non||Non||[]||["observé jusqu' à 15", 'profondeur ,']||- un diagnostic complémentaire du 09/11/2016, ont montré que l'impact en hydrocarbure était observé jusqu'à 15m de profondeur,

16l0l1||Non||16l0l0||Non||Non||Non||Non||[]||['pollution résiduelle']||- une interprétation de l’état des milieux du 09/11/2016 a montré que la pollution résiduelle n’engendre pas de risque sanitaire inacceptable pour les usages constatés autour du site,

18l0l1||Non||18l0l0||Non||Non||Non||Non||[]||[]||Le projet d’aménagement prévu après la vente du terrain comprend la construction d’un immeuble d’habitations avec deux niveaux de sous-sol ainsi que des espaces verts.

18l0l1||Non||18l0l2||Non||Non||Non||Non||[]||[]||Le projet d’aménagement prévu après la vente du terrain comprend la construction d’un immeuble d’habitations avec deux niveaux de sous-sol ainsi que des espaces verts.

