3l0l0||3l0l1||3l0l4||Non||Non||Non||Non||['Biocitech']||[]||Depuis 2007, l’activité au sein de Biocitech a beaucoup changé.

4l0l0||Non||4l0l2||4l0l1||Non||Non||Non||[]||[]||En 2007, l’entreprise était soumise à autorisation sous 13 rubriques et était soumise à déclaration sous 17 rubriques.

7l0l3||Non||7l0l2||Non||Non||Non||Non||[]||[]||Des installations en activité sont encore présentes pour partie en zone centrale mais seront toutes regroupées d’ici fin 2015 dans la zone Est du site.

12l0l5||12l0l1||12l0l2||12l0l3||Non||Non||Non||['le préfet']||[]||Sur la zone des Écuries, le préfet a délivré le récépissé de cessation d’activité le 20/02/14,   et a confirmé que cette partie du site devait être remise en état pour un usage futur de type industriel, compte tenu de la date de cessation d’activité des installations classées (les installations classées soumises à autorisation avaient cessé avant le 1er octobre 2005).

12l0l5||12l1l0||12l0l2||12l0l3||Non||Non||Non||['le préfet']||[]||Sur la zone des Écuries, le préfet a délivré le récépissé de cessation d’activité le 20/02/14,   et a confirmé que cette partie du site devait être remise en état pour un usage futur de type industriel, compte tenu de la date de cessation d’activité des installations classées (les installations classées soumises à autorisation avaient cessé avant le 1er octobre 2005).

12l0l15||12l0l12||12l0l2||Non||Non||12l0l14||12l0l3||['le préfet']||[]||Sur la zone des Écuries, le préfet a délivré le récépissé de cessation d’activité le 20/02/14,   et a confirmé que cette partie du site devait être remise en état pour un usage futur de type industriel, compte tenu de la date de cessation d’activité des installations classées (les installations classées soumises à autorisation avaient cessé avant le 1er octobre 2005).

12l0l15||12l0l12||12l0l2||Non||Non||12l0l14||12l0l3||['le préfet']||[]||Sur la zone des Écuries, le préfet a délivré le récépissé de cessation d’activité le 20/02/14,   et a confirmé que cette partie du site devait être remise en état pour un usage futur de type industriel, compte tenu de la date de cessation d’activité des installations classées (les installations classées soumises à autorisation avaient cessé avant le 1er octobre 2005).

13l0l4||Non||13l0l2||13l0l0||Non||Non||Non||[]||[]||Le plan de gestion de cette zone a été transmis par courrier le 11/08/14.

14l0l1||Non||14l0l0||Non||Non||Non||Non||[]||[]||Celui-ci s’appuie sur une étude historique datée de 2011 et sur les différentes campagnes de caractérisation des milieux réalisées depuis 2005.

14l0l4||Non||14l0l2||Non||Non||14l0l3||Non||[]||[]||Celui-ci s’appuie sur une étude historique datée de 2011 et sur les différentes campagnes de caractérisation des milieux réalisées depuis 2005.

20l0l1||Non||20l0l0||Non||Non||Non||Non||[]||[]||Sur le plan technique, le venting (testé en 2011) et la désorption technique ne sont pas retenus compte tenu de la faible perméabilité des terrains.

21l0l3||Non||21l0l0||Non||Non||21l0l1||Non||[]||[]||Les travaux de réhabilitation sont encadrés par l'arrêté préfectoral du 8 juillet 2015.

22l0l3||Non||22l0l2||Non||Non||Non||Non||[]||[]||Enfin, une surveillance semestrielle des eaux souterraines est prévue sur l’ensemble du site pendant une période de 4 ans.

22l0l3||22l0l0||[]||[]||Enfin, une surveillance semestrielle des eaux souterraines est prévue sur l’ensemble du site pendant une période de 4 ans.

