3l0l2||3l0l0||3l0l1||Non||Non||Non||Non||['Union Générale de Distribution des Produits Pétroliers']||['liquides inflammables', 'supercarburant', 'carburant auto', 'gazole']||La station-service a débuté son exploitation en 1967, avec l’exploitation d’un dépôt mixte souterrain de liquides inflammables de 30 m3 (12 m3 de supercarburant, 10 m3 de carburant auto et 8 m3 de gazole), déclaré par l’Union Générale de Distribution des Produits Pétroliers.

6l0l0||6l0l1||6l0l3||Non||Non||6l0l2||Non||[]||['liquides inflammables']||Le 13/06/1985, l’exploitant transmet une nouvelle déclaration pour la distribution et le stockage de liquides inflammables qui est de de 70 m3 (deux réservoirs enterrés en fosse de 40 et 30 m3).

8l0l0||8l0l1||8l0l2||8l0l3||Non||Non||Non||[]||['GPL']||Le 28/07/1998, l’exploitant a transmis un dossier de déclaration pour l’installation d’une distribution de GPL comprenant un distributeur et un réservoir de 11,7 m3 (5 t).

11l0l4||Non||11l0l8||11l0l7||Non||Non||Non||[]||['sédiments hydrocarburés']||Par courrier du 04/08/2003, l’exploitant informe la préfecture que lors des travaux d’élargissement de la Nationale 19, des sédiments hydrocarburés ont été mis en évidence dans une ancienne canalisation d’eaux pluviales.

11l0l4||Non||11l0l8||11l1l0||Non||Non||Non||[]||['sédiments hydrocarburés']||Par courrier du 04/08/2003, l’exploitant informe la préfecture que lors des travaux d’élargissement de la Nationale 19, des sédiments hydrocarburés ont été mis en évidence dans une ancienne canalisation d’eaux pluviales.

11l0l4||Non||11l0l5||Non||Non||Non||Non||[]||['sédiments hydrocarburés']||Par courrier du 04/08/2003, l’exploitant informe la préfecture que lors des travaux d’élargissement de la Nationale 19, des sédiments hydrocarburés ont été mis en évidence dans une ancienne canalisation d’eaux pluviales.

18l0l5||Non||18l0l3||18l0l6||Non||Non||Non||['TOTAL RAFFINAGE MARKETING']||['carburants']||Par courrier du 06/08/2012, TOTAL RAFFINAGE MARKETING informe de la cessation définitive de l’activité de distribution et stockage de carburants à compter du 05/10/2012, de la station-service Relais de la Montagne.

19l0l3||Non||19l0l2||19l0l0||Non||Non||Non||[]||[]||Le récépissé de cessation d’activité a été délivré le 22/08/2013.

21l0l2||Non||21l0l1||Non||Non||Non||Non||[]||['hydrocarbures', 'BTEX']||Suite au diagnostic des sols réalisé en 2006 dans le cadre de la future cessation des activités du site, mettant en évidence des impacts en hydrocarbures et en BTEX, une installation d'extraction sous vide des eaux souterraines et des gaz de sols a été mise en place afin de stopper le transfert de polluants en aval de la station-service et de traiter la source de pollution dans les sols et les eaux souterraines, via neuf piézomètres, puis sur sept depuis le 20/02/2013.

21l0l15||Non||21l0l10||21l0l11||Non||Non||Non||[]||['hydrocarbures', 'BTEX']||Suite au diagnostic des sols réalisé en 2006 dans le cadre de la future cessation des activités du site, mettant en évidence des impacts en hydrocarbures et en BTEX, une installation d'extraction sous vide des eaux souterraines et des gaz de sols a été mise en place afin de stopper le transfert de polluants en aval de la station-service et de traiter la source de pollution dans les sols et les eaux souterraines, via neuf piézomètres, puis sur sept depuis le 20/02/2013.

24l0l4||24l0l0||24l0l1||24l0l3||Non||Non||Non||[]||[]||TOTAL a adressé à la Préfecture du Val-de-Marne, les rapports des suivis de traitements, pour la période allant de janvier 2013 à avril 2015.

