0l0l2||Non||0l0l1||0l0l0||Non||Non||Non||['la société CHANTIERS DU CHATEAU']||['fioul']||Une déclaration a été faite le 17/12/1960, par la société CHANTIERS DU CHATEAU pour l’exploitation, au 33 boulevard du château d’un dépôt de houille et d'un stockage de fioul.

1l0l5||1l0l0||1l0l2||Non||Non||Non||Non||["La Société COMBUSTIBLE DE L' ILE DE FRANCE"]||[]||La Société COMBUSTIBLE DE L'ILE DE FRANCE a succédé à la société des Chantiers du Château le 12/01/1989.

1l0l5||1l1l0||1l0l2||Non||Non||Non||Non||["La Société COMBUSTIBLE DE L' ILE DE FRANCE"]||[]||La Société COMBUSTIBLE DE L'ILE DE FRANCE a succédé à la société des Chantiers du Château le 12/01/1989.

2l0l5||Non||2l0l2||Non||Non||Non||Non||['la FRANCILIENNE DE CONFORT', "la société COMBUSTIBLE DE L' ILE DE FRANCE"]||[]||Puis,la FRANCILIENNE DE CONFORT a succèdé à la société COMBUSTIBLE DE L'ILE DE FRANCE le 29/03/1993.

7l0l2||7l0l0||7l0l1||Non||Non||Non||Non||[]||[]||Les activités ont probablement cessé en 1996.

12l0l6||Non||12l0l0||Non||Non||12l0l4||Non||['CALDEO']||['hydrocarbures']||Un diagnostic des sols mettant en évidence la présence d'hydrocarbures au niveau de 2 sondages a été transmis par CALDEO le 06/12/2006.

15l0l2||Non||15l0l0||Non||Non||15l0l1||Non||[]||[]||Les travaux de dépollution se sont déroulés du 3 novembre au 5 décembre 2008.

20l0l0||Non||20l0l1||Non||Non||Non||Non||[]||[]||- lors de travaux pour l'installation ou la rénovation du réseau potable : isoler toute nouvelle canalisation d'eau potable des sols en place comme cela est fait de manière habituelle (gaine autour des canalisations, utilisation d'un matériau non perméable, installation dans les zones non impactées…) ;

20l0l0||Non||20l0l2||20l0l4||Non||Non||Non||[]||[]||- lors de travaux pour l'installation ou la rénovation du réseau potable : isoler toute nouvelle canalisation d'eau potable des sols en place comme cela est fait de manière habituelle (gaine autour des canalisations, utilisation d'un matériau non perméable, installation dans les zones non impactées…) ;

20l0l0||Non||20l0l5||Non||Non||Non||Non||[]||[]||- lors de travaux pour l'installation ou la rénovation du réseau potable : isoler toute nouvelle canalisation d'eau potable des sols en place comme cela est fait de manière habituelle (gaine autour des canalisations, utilisation d'un matériau non perméable, installation dans les zones non impactées…) ;

27l0l4||Non||27l0l2||Non||Non||27l0l3||Non||[]||['hydrocarbures']||L’existence d’une pollution résiduelle en hydrocarbures au droit du site, malgré les travaux de réhabilitation réalisés en 2008, a donc rendu nécessaire l’institution de servitudes d’utilité publiques (SUP) pour en conserver la mémoire, la nature exacte des projets de réaménagement sur ces terrains par leur propriétaire n’étant pas connue.

27l0l4||Non||27l0l7||Non||Non||27l0l5||27l0l8||[]||['hydrocarbures']||L’existence d’une pollution résiduelle en hydrocarbures au droit du site, malgré les travaux de réhabilitation réalisés en 2008, a donc rendu nécessaire l’institution de servitudes d’utilité publiques (SUP) pour en conserver la mémoire, la nature exacte des projets de réaménagement sur ces terrains par leur propriétaire n’étant pas connue.

35l0l6||Non||35l0l4||35l0l0||Non||Non||Non||[]||[]||Le dossier visant à instituer des servitudes d’utilité publique a également été demandé par l’arrêté préfectoral n°2013/1197 du 02/04/2013.

37l0l5||Non||37l0l3||Non||Non||37l0l4||Non||[]||[]||L’institution de servitudes d’utilités publiques n’étant pas souhaitée par le propriétaire des terrains, de nouveaux travaux de dépollution ont débuté en octobre 2015.

38l0l5||Non||38l0l3||Non||Non||38l0l4||Non||[]||[]||Après la démolition du hangar, les nouvelles excavations ont été réalisées, entre le 29 octobre et 18 décembre 2015, sur les deux parcelles du site, au 31 et 33 boulevard du château.

