1l0l2||Non||1l0l1||1l0l0||Non||Non||Non||['la Compagnie Générale des Insecticides']||[]||Il est loué depuis 1981 par la Compagnie Générale des Insecticides, fabriquant d'insecticides.

2l0l3||Non||2l0l1||Non||Non||2l0l2||Non||['la DRIRE']||['dépôts de déchets']||A l'occasion d'une évaluation simplifiée des risques (ESR) réalisée en 2006 par l'exploitant actuel à la demande de la DRIRE, il a été constaté que le sous-sol du site était pollué par d'anciens dépôts de déchets et d'anciennes activités industrielles.

5l0l2||Non||5l0l1||5l0l0||Non||Non||Non||[]||[]||Les terres bleurs auraient été déposées vers 1910, auraient ensuite servi de remblai lors de la création de la zone industrielle dans les années 1970.

5l0l7||Non||5l0l5||5l0l6||Non||Non||Non||[]||[]||Les terres bleurs auraient été déposées vers 1910, auraient ensuite servi de remblai lors de la création de la zone industrielle dans les années 1970.

6l0l8||Non||6l0l1||Non||Non||Non||Non||['Les sociétés Camille Arnourd', 'Couleur Ten Horn']||['soufre']||Les sociétés Camille Arnourd et Couleur Ten Horn, qui ont exploité des activités industrielles (fabrique de vernis gras, de produits chimiques, de pigments, épuration des terres bleues, distillation du soufre) sur le site entre 1869 et 1980, ont également contribué à la pollution du site.

15l0l3||Non||15l0l1||Non||Non||Non||Non||[]||[]||Le bilan de cette surveillance devra être adressé par l'exploitant tous les 4 ans a compter de la mise en application de l'arrêté complémentaire.

15l0l5||Non||15l0l4||Non||Non||Non||Non||[]||[]||Le bilan de cette surveillance devra être adressé par l'exploitant tous les 4 ans a compter de la mise en application de l'arrêté complémentaire.

16l0l4||Non||16l0l3||Non||Non||Non||Non||[]||[]||Le réseau de surveillance des eaux souterraines constitué de 3 piézomètres dont 1 en amont (Pz1) et 2 en aval (Pz2 et Pz3) présents sur le site a été mis en place en 2008.

17l0l6||Non||17l0l0||Non||Non||17l0l5||17l0l1||[]||[]||La première campagne d'analyse des eaux souterraines suite à la mise en place de ce réseau a été réalisée en septembre 2008.

28l0l3||Non||28l0l0||Non||Non||28l0l2||28l0l1||['SDAGE Seine']||['cyanures totaux']||Les campagnes d'analyse des eaux souterraines effectuées en 2010 et 2011 ont montré des concentrations en cyanures totaux supérieures aux valeurs seuils données par l'annexe 3 du SDAGE Seine Normandie 2010-2015 au niveau des piézomètres Pz2 et Pz3.

29l0l1||Non||29l0l0||Non||Non||Non||Non||[]||[]||Les concentrations restent toutefois inférieures à celles mesurées lors de la campagne de février 2009.

30l0l1||Non||30l0l0||Non||Non||Non||Non||[]||['cyanures libres']||Les concentrations en cyanures libres restent inférieures aux valeurs seuils données par l'annexe 3 du SDAGE Seine Normandie 2010-2015.

31l0l3||Non||31l0l0||Non||Non||31l0l2||31l0l1||['SDAGE Seine Normandie']||['cyanures totaux']||Les campagnes d'analyse des eaux souterraines effectuées en 2012 ont montré des concentrations en cyanures totaux supérieures aux valeurs seuils données par l'annexe 3 du SDAGE Seine Normandie 2010-2015 au niveau des piézomètres Pz2 et Pz3.

31l0l6||Non||31l0l5||Non||Non||Non||Non||['SDAGE Seine Normandie']||['cyanures totaux']||Les campagnes d'analyse des eaux souterraines effectuées en 2012 ont montré des concentrations en cyanures totaux supérieures aux valeurs seuils données par l'annexe 3 du SDAGE Seine Normandie 2010-2015 au niveau des piézomètres Pz2 et Pz3.

32l0l1||Non||32l0l0||Non||Non||Non||Non||[]||[]||Les concentrations restent toutefois inférieures à celles mesurées lors de la campagne de février 2009.

33l0l3||Non||33l0l2||Non||Non||Non||Non||[]||['cyanures']||Les concentrations en cyanures libres restent inférieures aux valeurs seuils données par l'annexe 3 du SDAGE Seine Normandie 2010-2015, excepté lors du prélèvement effectué en août 2012 au niveau du Pz2 (concentration mesurée : 0.054 mg/l - Valeur de référence : 0.05 mg/l).

35l0l7||Non||35l0l6||Non||Non||Non||Non||['la société COMPAGNIE GENERALE DES INSECTICIDES']||[]||En application des prescriptions techniques relatives à la surveillance de la qualité des eaux souterraines imposées à la société COMPAGNIE GENERALE DES INSECTICIDES, le bilan quadriennal 2008-2012 a été transmis.

