Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2016	10	18		2016	10	18			participera_à	- d'une part, que la DREAL participera à la gestion du site pour pallier à l'absence de liquidateur et de structure de gestion pérenne (avenant à la convention entre l'Etat et l'ADEME signé le 18/10/2016).		'la DREAL'
1991				1991					dissous	Par ailleurs, dans le cadre du financement de ces travaux, une convention a été signée le 23 juillet 2004 entre d'une part le Ministère de l'Economie, des Finances et de l'Industrie et d'autre part l’ADEME, pour prévoir les conditions dans lesquelles cette dernière réglera la quote-part de l’Etat (estimée à 10 % des dépenses totales, eu égard aux activités passées de l’IRCHA dissous fin 1991).		"le Ministère de l'", 'l’ ADEME'
2003	07			2003	07				a_fait_savoir	Cette dernière, après avoir reçu l'avis favorable d'un hydrogéologue sur la proposition de l'exploitant, a fait savoir à celui-ci, fin juillet 2003, qu'elle n'avait pas d'objections à formuler sur le projet retenu.		
2004	11			2004	11				les_travaux	Après qu’aient été réalisés l’élargissement de la piste d’accès, le débroussaillage et la mise en place d’une centrale de production de béton et de bentonite, les travaux concernant la construction de la paroi étanche périphérique au site ont été engagés en novembre 2004.		
2016	10	18		2016	10	18			signé	- d'une part, que la DREAL participera à la gestion du site pour pallier à l'absence de liquidateur et de structure de gestion pérenne (avenant à la convention entre l'Etat et l'ADEME signé le 18/10/2016).		'la DREAL'
2003				2003					s__avérait	A la fin de l'année 2003, le volume d'eau entré dans le réceptacle s'avérait être le plus élevé des 4 dernières années.		
2015	11	20		2015	11	20			La_liquidation_judiciaire	La liquidation judiciaire a été clôturée par ordonnance du 20 novembre 2015.		
2010	01	1							intervient	Depuis le 1er janvier 2010 l'ADEME intervient en tant que co-gestionnaire financier des opérations d'entretien et de surveillance de l'ancienne décharge		
1983				1983					a_cessé	L'exploitation du site a cessé en 1983.		
2007				2007					joue	En 2007, la société EUROVIA joue le rôle de maître d'œuvre (pompage, évacuation et traitement approprié des eaux de percolation pour le compte du liquidateur Me BOUET.		'la société EUROVIA', 'BOUET'
2004	07	23		2004	07	23			une_convention_a_été_signée	Par ailleurs, dans le cadre du financement de ces travaux, une convention a été signée le 23 juillet 2004 entre d'une part le Ministère de l'Economie, des Finances et de l'Industrie et d'autre part l’ADEME, pour prévoir les conditions dans lesquelles cette dernière réglera la quote-part de l’Etat (estimée à 10 % des dépenses totales, eu égard aux activités passées de l’IRCHA dissous fin 1991).		"le Ministère de l'", 'l’ ADEME'
2015	12	15		2015	12	15			a_été_signé	Un arrêté préfectoral de Servitude d'Utilité Publique (SUP) a été signé le 15 décembre 2015.		
2003				2003					Les_analyses	Les analyses du dernier trimestre 2003 témoignaient d'une augmentation des concentrations en plomb et en zinc dans les piézomètres PZ 115 et PZ 118 qui captent les eaux des argiles du Toarcien.	'plomb', 'zinc'	
2016	03	29		2016	03	29			Une_réunion	Une réunion s'est tenue le 29/03/2016 à la sous-Préfecture de Confolens entre les services de l'Etat et les responsables des déchets, et une autre le 14/04/2016, à la Mairie de Roumazières, la collectivité territoriale et les associations pour l'environnement.		'la sous-Préfecture de Confolens', "les services de l' Etat", 'la collectivité territoriale'
