Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2010	11			2010	11				ont_été_pris	Les arrêtés préfectoraux de travaux d'office et d'occupation des terrains ont été pris en novembre 2010.		
2003	09	23		2003	09	23			était_pas_encore_engagé	Fin 2002 le lancement des appels d'offres pour la réalisation des études n'était pas encore engagé, aussi, sur proposition de l'inspection des installations classées, le préfet a prescrit le 23 septembre 2003 au producteur du dépôt, la SMMP devenue Metaleurop, la mise en sécurité du site et la surveillance des effluents et des eaux.	'effluents'	'le préfet', 'la SMMP devenue Metaleurop'
2000				2000					sont_propriété_de	En 2000 les terrains sont propriété de la commune de Saint Sébastien d'Aigrefeuille.		'Saint Sébastien'
2006	09			2006	09				l__étude_de_stabilité	En septembre 2006, l'étude de stabilité de la digue a été remise à la DRIRE; elle écarte tout risque de rupture à court terme mais préconise des mesures de surveillance et d'entretien pour garantir la pérennité de l'ouvrage.		'la DRIRE'
2010	02	10		2010	02	10			a_été_créée	Une Commission Locale d'Information et de Surveillance (CLIS) a été créée, et s'est réunie pour la première fois le 10 février 2010.		'Une Commission'
1982				1982					fin_des_travaux	La DDAF et le département du Gard ont alors conduit, avec participation du dernier exploitant, Metaleurop, des travaux de remodelage, de protection et de drainage du dépôt de stériles (fin des travaux en 1982) dans le but de stabiliser physiquement la masse des sables, de limiter les quantités d'eau percolant à travers, et de limiter les quantités de polluants émis en aval du dépôt.	'polluants'	'La DDAF', 'le département du Gard', 'Metaleurop'
1963				1963					une_installation_de_traitement	Il s’agit d’un dépôt de sables et de boues riches en sulfures (pyrite arséniée et galène) issus d'une installation de traitement de minerais de plomb et de zinc (stériles de flottation) qui a cessé son activité en 1963.	'sulfures', 'pyrite arséniée', 'galène', 'plomb', 'zinc'	
2010	07	21		2010	07	21			a_fait_part	Par courrier du 21 juillet 2010, le Ministre d'Etat a fait part au Préfet de Gard qu'une intervention de l'ADEME sur ce site était justifiée.		"le Ministre d' Etat", 'Préfet de Gard'
									a_été_mis_en_place	Un suivi de la stabilité du mur de soutènement a été mis en place pour 2 ans .		
1963	10	24		1963	10	24			a_abouti	La procédure d'abandon légal de la mine de plomb de Saint Sébastien d'Aigrefeuille (30) par la Société Minière et Métallurgique de Penarroya (SMMP) a abouti le 24/10/1963 (Arrêté Préfectoral (AP) pris au titre du Code minier).	'plomb'	'la Société Minière', 'et Métallurgique', 'de Penarroya'
