
#77.0078
#Les Etablissements BRUN ont été autorisés par arrêté préfectoral (n° 72 DAGR 2EC 80 en date du 27 avril 1972 rectifié le 17 mai 1972) à exploiter un atelier où l’on travaille le bois comportant un stock de bois de plus de 75 m3, et ont déclaré la cessation de leur activités le 6 juin 2000.
1	Les	le	DET	BO	BI	2	det
2	Etablissements	etablissement	NOUN	IO	II	6	nsubj:pass
3	BRUN	BRUN	PROPN	EO	EI	2	nmod
4	ont	avoir	AUX	BN	O	6	aux:tense
5	été	être	AUX	IN	O	6	aux:pass
6	autorisés	autoriser	VERB	IN	O	6	ROOT
7	par	par	ADP	EN	O	8	case
8	arrêté	arrêté	NOUN	BO	O	6	obl:mod
9	préfectoral	préfectoral	ADJ	EO	O	8	amod
10	(	(	PUNCT	O	O	8	punct
11	n°	numéro	NOUN	O	O	8	appos
12	72	72	NUM	O	O	11	nummod
13	DAGR	DAGR	PROPN	O	O	11	nmod
14	2EC	2ec	NOUN	O	O	13	nmod
15	80	80	NUM	O	O	14	nummod
16	en	en	ADP	BT	O	17	case
17	date	date	NOUN	IT	O	11	nmod
18	du	de	ADP	IT	O	19	case
19	27	27	NUM	IT	O	17	nmod
20	avril	avril	NOUN	IT	O	19	nmod
21	1972	1972	NUM	ET	O	20	nmod
22	rectifié	rectifier	VERB	O	O	19	acl
23	le	le	DET	BT	O	24	det
24	17	17	NUM	IT	O	22	obl:mod
25	mai	mai	NOUN	IT	O	24	nmod
26	1972	1972	NUM	ET	O	25	nmod
27	)	)	PUNCT	O	O	8	punct
28	à	à	ADP	O	O	29	mark
29	exploiter	exploiter	VERB	BN	O	6	xcomp
30	un	un	DET	BO	O	31	det
31	atelier	atelier	NOUN	EO	O	29	obj
32	où	où	PRON	BR	O	35	iobj
33	l’	l’	PRON	O	O	35	nsubj
34	on	on	PRON	O	O	35	nsubj
35	travaille	travaille	VERB	BA	O	31	acl:relcl
36	le	le	DET	IA	O	37	det
37	bois	bois	NOUN	EA	O	35	obj
38	comportant	comporter	VERB	O	O	37	acl
39	un	un	DET	O	O	40	det
40	stock	stock	NOUN	O	O	38	obj
41	de	de	ADP	O	O	42	case
42	bois	bois	NOUN	O	O	40	nmod
43	de	de	ADP	O	O	47	case
44	plus	plus	ADV	O	O	46	advmod
45	de	de	ADP	O	O	44	fixed
46	75	75	NUM	O	O	47	nummod
47	m3	m3	PUNCT	O	O	40	nmod
48	,	,	PUNCT	O	O	29	punct
